update,timestep,win_rate,avg_points,pg_loss,value_loss,entropy,total_loss,fps,eval_win_rate,eval_avg_points
1410,1443840,0.54,58.15,-0.00032991301850415766,0.15106732724234462,0.08925539813935757,0.07431119633838534,1016.7236140026513,,
1420,1454080,0.51,60.59,-0.0003277956275269389,0.10095448838546872,0.05140869435854256,0.0496353612979874,1017.1449425685396,0.4,64.08
1430,1464320,0.5,61.11,-0.003916403453331441,0.13465816481038928,0.0629344645421952,0.06278333603404462,1016.4018227552016,,
1440,1474560,0.54,62.17,-0.0034743119758786634,0.10364103410393,0.1416156548075378,0.04693004838190973,1016.9561233189012,0.39,58.4
1450,1484800,0.46,60.73,-0.004795814893441275,0.12024166574701667,0.1919418191537261,0.053405600134283304,1016.4303135004665,,
1460,1495040,0.43,57.33,-0.0001556261267978698,0.14822176238521934,0.12842755299061537,0.07267097802832723,1017.089853666887,0.35,57.84
1470,1505280,0.42,55.26,-0.002047767542535439,0.11352551868185401,0.11855085659772158,0.05352948303334415,1016.5965976440929,,
1480,1515520,0.55,64.87,0.00020457885693758726,0.12472135294228792,0.21254270803183317,0.06043982901610434,1017.3074705193642,0.43,67.96
1490,1525760,0.5,57.33,-0.0026359060138929635,0.11473537888377905,0.1405919031240046,0.053325864020735025,1016.6229387285156,,
1500,1536000,0.52,61.79,-0.0016126718546729535,0.12894637929275632,0.07615162804722786,0.062099001836031675,1017.2641162736575,0.37,57.5
1510,1546240,0.55,63.65,-0.00012792643974535167,0.12806133553385735,0.04080508730839938,0.06349468976259232,1016.696109521014,,
1520,1556480,0.51,58.41,-0.0013518953055609018,0.14270415622740984,0.04776177532039583,0.0695225652307272,1017.3709199176443,0.42,63.31
1530,1566720,0.52,59.0,-0.0014670572418253869,0.163425724953413,0.035060333320870996,0.07989520183764398,1016.7779671470427,,
1540,1576960,0.55,62.91,-0.0018513863033149391,0.16583597986027598,0.03399711404927075,0.08072663331404328,1017.2835488350121,0.34,66.09
1550,1587200,0.53,59.81,-0.0008081604028120637,0.1283328295685351,0.03755968087352812,0.06298265745863318,1016.6614571670016,,
1560,1597440,0.53,61.13,-0.003992685204138979,0.15721686743199825,0.05246638786047697,0.07409108383581042,1017.275318713902,0.34,63.67
1570,1607680,0.46,59.39,-0.0005933030333835632,0.133102688472718,0.037956821732223034,0.0655784725677222,1016.7962071445265,,
1580,1617920,0.5,62.11,-0.0023206863552331924,0.10818267799913883,0.09158614790067077,0.050854791421443224,1017.5588443809855,0.37,62.29
1590,1628160,0.6,67.05,-0.0011731592239812016,0.12349523231387138,0.0528830683324486,0.06004562648013234,1017.2418529571434,,
1600,1638400,0.55,61.6,0.00016699856496416032,0.1930032456293702,0.025642565567977726,0.09641219489276409,1018.0155283185508,0.36,60.26
1610,1648640,0.49,59.7,-0.004044552013510838,0.11446073139086366,0.06869391142390668,0.05249887425452471,1017.6099518321049,,
1620,1658880,0.52,64.8,-0.0033083992602769285,0.18820758257061243,0.06868546456098557,0.09010853804647923,1018.3270298265319,0.41,63.6
1630,1669120,0.53,63.07,-0.002568576470366679,0.12619234900921583,0.06554952845908701,0.05987210269086063,1017.9741870470303,,
1640,1679360,0.51,63.19,-0.002350580005440861,0.15024379268288612,0.11550389463081956,0.0716162770986557,1018.684725592532,0.33,61.16
1650,1689600,0.45,58.78,-0.00165240399655886,0.17308362945914268,0.0541516188532114,0.08434789348393679,1018.2822593301556,,
1660,1699840,0.47,63.69,-0.003514398355036974,0.1441745520569384,0.07252012984827161,0.06784767610952258,1018.9072787058936,0.33,60.26
1670,1710080,0.5,61.29,5.987746408209205e-05,0.09954657312482595,0.07766333036124706,0.04905653104651719,1018.5791349941484,,
1680,1720320,0.56,63.86,-0.0037656985223293304,0.17970512248575687,0.06030061678029597,0.08548385696485639,1019.3308952222608,0.47,63.68
1690,1730560,0.53,59.62,-0.0014182705926941708,0.1393172163516283,0.12679461250081658,0.06697239144705236,1018.8808228918999,,
1700,1740800,0.48,60.38,-0.002983915066579357,0.15418966161087155,0.061402137856930494,0.07349689374677837,1019.6347009200789,0.32,59.18
1710,1751040,0.56,62.42,-0.00321042412542738,0.13703027181327343,0.05998696479946375,0.0647048419341445,1019.2083825837726,,
1720,1761280,0.61,65.76,-0.0008505351288476959,0.116884536575526,0.04613727703690529,0.05713036097586155,1019.8627228671644,0.44,61.78
1730,1771520,0.48,64.71,-0.00460835822741501,0.13425539061427116,0.09696655627340078,0.061549670761451125,1019.454851806804,,
1740,1781760,0.46,59.93,-0.0013263224682305008,0.1145425122231245,0.05184122989885509,0.05542652145959437,1019.9183445051341,0.56,63.21
1750,1792000,0.52,61.1,-0.004665892221964896,0.15032027754932642,0.07016336312517524,0.0697926131542772,1019.4970139655582,,
1760,1802240,0.49,61.24,-0.0026329336687922478,0.11495410557836294,0.06213968200609088,0.05422272230498493,1020.0030031593419,0.32,59.36
1770,1812480,0.5,60.36,-0.00026591887581162155,0.14459447283297777,0.10085487412288785,0.0710227673407644,1019.6736243100896,,
1780,1822720,0.49,59.38,-0.0024670029524713755,0.10812745057046413,0.03427707136142999,0.051253952318802476,1020.2797729145894,0.4,61.21
1790,1832960,0.51,61.65,-0.0008923525165300816,0.13432225584983826,0.04933805449400097,0.06577539374120533,1019.9771789776513,,
1800,1843200,0.64,69.2,-0.0014978270482970402,0.15292898518964648,0.10039616515859962,0.07396270474418998,1020.5659017650923,0.43,61.96
1810,1853440,0.52,63.18,-0.002323971304576844,0.14756553014740348,0.09032389195635915,0.07055555307306349,1020.0989285156292,,
1820,1863680,0.52,62.16,-0.0005069960607215762,0.1621230309829116,0.07723767845891416,0.07978214253671467,1020.6951073834173,0.36,62.46
1830,1873920,0.51,62.2,-0.004041383974254131,0.13179133646190166,0.07546551572158933,0.06109962984919548,1020.2839298559052,,
1840,1884160,0.51,62.23,-0.0006281566456891596,0.14978568209335208,0.0725761647336185,0.07353892200626433,1020.8581887931117,0.31,61.12
1850,1894400,0.43,57.85,-0.005705597723135725,0.14097255747765303,0.07069026352837682,0.0640737775247544,1020.3817242584112,,
1860,1904640,0.48,59.63,-0.0005476608639582992,0.1391264288686216,0.05855585541576147,0.06842999579384923,1020.9087103669696,0.42,63.94
1870,1914880,0.57,63.95,0.0010350157390348613,0.13904001098126173,0.06878642924129963,0.06986715761013329,1020.5676527130361,,
1880,1925120,0.59,64.29,-0.0032363641657866538,0.14607849949970841,0.09716786490753293,0.0688312069978565,1021.111615000427,0.41,60.03
1890,1935360,0.45,57.42,-0.003876248694723472,0.17967810481786728,0.057233871426433325,0.08539046347141266,1020.7518379041138,,
1900,1945600,0.57,63.75,-0.0012218157935421914,0.14892183057963848,0.11881907982751727,0.07205090927891433,1021.3274678116354,0.45,62.62
1910,1955840,0.53,63.38,-0.004506253113504499,0.09260885789990425,0.1346681430004537,0.04045149474404752,1021.0009942362334,,
1920,1966080,0.49,62.41,-0.0020783522486453876,0.12759177712723613,0.07741476339288056,0.06094338861294091,1021.5997687377044,0.32,62.11
1930,1976320,0.45,57.37,0.0019860092434100807,0.12885556276887655,0.07537542027421296,0.06566003640182316,1021.2299501847608,,
1940,1986560,0.53,63.61,-0.0025111122959060594,0.13278803694993258,0.03942081157583743,0.06348869809880853,1021.7879652062949,0.35,60.17
1950,1996800,0.52,58.56,-0.0005397176428232342,0.11996573396027088,0.051781864603981376,0.058925331104546785,1021.5305121044505,,
