signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
1-10-10-4-10-3,1,10.0,10.0,4,10,3,39,37,1,1,0.0,0.0,0.0
5-10-2-2-28-0,5,10.0,2.0,2,28,0,35,20,1,1,0.0,0.0,0.0
5-13-5-2-46-0,5,13.0,5.0,2,46,0,33,4,1,1,0.0,0.0,0.0
3-14-2-2-19-1,3,14.0,2.0,2,19,1,28,25,6,1,0.0,0.0,0.0
4-11-0-2-18-1,4,11.0,,2,18,1,44,31,1,1,0.0,0.0,0.0
4-12-3-2-27-0,4,12.0,3.0,2,27,0,25,10,1,1,0.0,0.0,0.0
3-11-2-3-17-1,3,11.0,2.0,3,17,1,32,25,1,1,0.0,0.0,0.0
5-13-5-2-40-0,5,13.0,5.0,2,40,0,52,24,1,1,0.0,0.0,0.0
3-12-8-4-31-1,3,12.0,8.0,4,31,1,23,15,1,1,0.0,0.0,0.0
1-10-10-4-10-2,1,10.0,10.0,4,10,2,34,32,2,1,0.0,0.0,0.0
5-14-3-2-38-1,5,14.0,3.0,2,38,1,33,15,3,1,0.0,0.0,0.0
4-14-3-2-31-1,4,14.0,3.0,2,31,1,34,25,2,1,0.0,0.0,0.0
2-12-10-3-22-1,2,12.0,10.0,3,22,1,40,35,1,1,0.0,0.0,0.0
5-14-0-2-34-0,5,14.0,,2,34,0,40,14,2,1,0.0,0.0,0.0
5-14-4-1-42-1,5,14.0,4.0,1,42,1,42,11,1,1,0.0,0.0,0.0
4-10-0-2-21-0,4,10.0,,2,21,0,37,14,7,1,0.0,0.0,0.0
5-13-2-2-44-0,5,13.0,2.0,2,44,0,14,4,1,1,0.0,0.0,0.0
5-13-0-2-41-0,5,13.0,,2,41,0,20,10,1,1,0.0,0.0,0.0
3-10-2-3-21-0,3,10.0,2.0,3,21,0,18,14,2,1,0.0,0.0,0.0
4-5-0-2-10-1,4,5.0,,2,10,1,35,25,1,1,0.0,0.0,0.0
4-7-0-3-16-1,4,7.0,,3,16,1,38,25,1,1,0.0,0.0,0.0
4-14-6-3-40-1,4,14.0,6.0,3,40,1,38,19,3,1,0.0,0.0,0.0
3-12-2-2-25-1,3,12.0,2.0,2,25,1,21,15,2,1,0.0,0.0,0.0
3-7-5-2-18-0,3,7.0,5.0,2,18,0,41,18,3,1,0.0,0.0,0.0
2-14-3-4-17-1,2,14.0,3.0,4,17,1,28,25,3,1,0.0,0.0,0.0
